,product_code,warehouse,year,month,week,date,order_demand,storage,mu,mu_a,pi,pir
6437,0116,Whse_C,2012,2,7,2012-02-17,120.0,156.0,126.76744186046511,120.8628488372093,89.75232558139534,89.75232558139534
6438,0116,Whse_C,2012,2,8,2012-02-21,48.0,125.75232558139534,125.75232558139534,57.9134215116279,36.337151162790704,36.337151162790704
6439,0116,Whse_C,2012,5,20,2012-05-18,120.0,114.08947674418604,114.08947674418604,119.24640828488373,120.8865784883721,120.8865784883721
6440,0116,Whse_C,2012,8,34,2012-08-20,6.0,114.97605523255814,114.97605523255814,19.894447042151164,10.346408284883722,10.346408284883722
6441,0116,Whse_C,2012,10,42,2012-10-18,6.0,119.32246351744186,98.62964694767442,17.81027998582849,28.5872636119186,28.5872636119186
6442,0116,Whse_C,2012,11,45,2012-11-05,1080.0,141.90972712936048,84.73519990552326,953.1037379879542,1172.1151927903343,1172.1151927903343
6443,0116,Whse_C,2012,12,49,2012-12-06,120.0,234.02491991969475,234.0249199196948,134.5381772897611,102.89626201204584,102.89626201204584
6444,0116,Whse_C,2012,12,50,2012-12-10,840.0,216.9211819317406,216.9211819317406,760.5574506962969,933.461822710239,933.461822710239
6445,0116,Whse_C,2013,2,5,2013-02-01,240.0,310.3830046419796,310.38300464197954,248.97383309185238,229.442549303703,229.442549303703
6446,0116,Whse_C,2013,3,12,2013-03-20,120.0,299.8255539456826,299.8255539456826,142.92775812807454,93.02616690814762,93.02616690814762
6447,0116,Whse_C,2013,4,15,2013-04-10,360.0,272.8517208538302,272.8517208538302,348.88859440886336,373.0722418719255,373.0722418719255
6448,0116,Whse_C,2013,4,16,2013-04-18,120.0,285.9239627257557,285.9239627257557,141.15530524753387,95.11140559113664,95.11140559113664
6449,0116,Whse_C,2013,5,22,2013-05-29,480.0,261.03536831689235,261.03536831689235,452.0820094604038,512.8446947524662,512.8446947524662
6450,0116,Whse_C,2013,7,27,2013-07-01,12.0,293.8800630693586,293.8800630693585,47.93970804134322,30.282009460403827,30.282009460403827
6451,0116,Whse_C,2013,7,28,2013-07-09,120.0,312.16207252976244,251.59805360895476,136.77875183514175,39.696273037849096,39.696273037849096
6452,0116,Whse_C,2013,7,29,2013-07-15,240.0,231.85834556761154,231.85834556761154,238.96193905987047,241.22124816485825,241.22124816485825
6453,0116,Whse_C,2013,7,30,2013-07-26,12.0,233.0795937324698,233.0795937324698,40.1876482008899,21.161939059870463,21.161939059870463
6454,0116,Whse_C,2013,8,31,2013-08-02,120.0,242.24153279234025,199.91765467259933,130.18950097075643,65.68847367936917,65.68847367936917
6455,0116,Whse_C,2013,8,34,2013-08-19,120.0,187.93000647170942,187.93000647170942,128.66107582514294,109.81049902924357,109.81049902924357
6456,0116,Whse_C,2013,9,37,2013-09-12,480.0,177.740505500953,177.740505500953,441.4619144513715,525.3389241748571,525.3389241748571
6457,0116,Whse_C,2013,9,39,2013-09-27,120.0,223.07942967581005,223.07942967581005,133.14262728366577,104.53808554862849,104.53808554862849
6458,0116,Whse_C,2013,10,41,2013-10-11,120.0,207.61751522443853,207.61751522443853,131.1712331911159,106.85737271633423,106.85737271633423
6459,0116,Whse_C,2013,10,43,2013-10-23,120.0,194.47488794077276,194.47488794077276,129.49554821244854,108.82876680888407,108.82876680888407
6460,0116,Whse_C,2013,10,44,2013-10-31,36.0,183.30365474965683,183.30365474965683,54.781215980581244,13.904451787551466,13.904451787551466
6461,0116,Whse_C,2013,11,45,2013-11-05,120.0,161.2081065372083,161.2081065372083,125.25403358349406,113.81878401941876,113.81878401941876
6462,0116,Whse_C,2013,11,46,2013-11-15,300.0,155.02689055662705,155.02689055662705,281.5159285459699,321.74596641650595,321.74596641650595
6463,0116,Whse_C,2013,11,48,2013-11-25,72.0,176.772856973133,176.772856973133,85.35853926407447,56.284071454030055,56.284071454030055
6465,0116,Whse_C,2013,12,50,2013-12-11,120.0,161.05692842716306,161.05692842716306,125.2347583744633,113.84146073592555,113.84146073592555
6466,0116,Whse_C,2013,12,51,2013-12-17,120.0,154.8983891630886,154.8983891630886,124.4495446182938,114.7652416255367,114.7652416255367
6464,0116,Whse_C,2013,12,1,2013-12-30,144.0,149.6636307886253,149.6636307886253,144.7221129255497,143.1504553817062,143.1504553817062
6467,0116,Whse_C,2014,1,2,2014-01-06,72.0,148.8140861703315,148.8140861703315,81.79379598671727,60.47788707445028,60.47788707445028
6468,0116,Whse_C,2014,2,8,2014-02-17,72.0,137.2919732447818,137.2919732447818,80.32472658870968,62.20620401328273,62.20620401328273
6469,0116,Whse_C,2014,3,10,2014-03-07,144.0,127.49817725806452,127.49817725806452,141.8960176004032,146.47527341129032,146.47527341129032
6470,0116,Whse_C,2014,3,13,2014-03-24,120.0,129.97345066935483,129.97345066935483,121.27161496034275,118.50398239959677,118.50398239959677
6471,0116,Whse_C,2014,4,16,2014-04-16,120.0,128.4774330689516,128.4774330689516,121.08087271629134,118.72838503965725,118.72838503965725
6472,0116,Whse_C,2014,5,19,2014-05-05,120.0,127.20581810860885,127.20581810860885,120.91874180884763,118.91912728370868,118.91912728370868
6473,0116,Whse_C,2014,5,20,2014-05-12,42.0,126.12494539231753,126.12494539231753,52.72593053752048,29.38125819115237,29.38125819115237
6474,0116,Whse_C,2014,7,28,2014-07-07,72.0,113.5062035834699,113.5062035834699,77.29204095689241,65.77406946247952,65.77406946247952
6475,0116,Whse_C,2014,7,30,2014-07-23,6.0,107.28027304594941,107.28027304594941,18.91323481335855,9.192040956892413,9.192040956892413
6476,0116,Whse_C,2014,8,32,2014-08-04,120.0,110.47231400284183,92.088232089057,116.44124959135478,105.80268327285663,105.80268327285663
6477,0116,Whse_C,2014,8,32,2014-08-08,42.0,96.27499727569845,96.27499727569845,48.92006215265155,33.85875040864522,33.85875040864522
6478,0116,Whse_C,2014,8,35,2014-08-29,18.0,88.13374768434367,88.13374768434367,26.94205282975382,7.479937847348452,7.479937847348452
6479,0116,Whse_C,2014,9,36,2014-09-01,270.0,77.61368553169213,77.61368553169213,245.47074490529076,298.8579471702462,298.8579471702462
6480,0116,Whse_C,2014,9,36,2014-09-04,30.0,106.47163270193829,106.47163270193832,39.75013316949714,18.529255094709285,18.529255094709285
6481,0116,Whse_C,2014,9,37,2014-09-09,762.0,95.00088779664758,95.00088779664758,676.9576131940726,862.0498668305029,862.0498668305029
6482,0116,Whse_C,2014,10,43,2014-10-22,42.0,195.05075462715047,195.05075462715047,61.513971214961686,19.042386805927435,19.042386805927435
6483,0116,Whse_C,2014,11,45,2014-11-07,240.0,172.0931414330779,172.0931414330779,231.34187553271744,250.1860287850383,250.1860287850383
6484,0116,Whse_C,2014,11,47,2014-11-20,120.0,182.2791702181162,182.2791702181162,127.94059420280982,110.65812446728256,110.65812446728256
6485,0116,Whse_C,2014,12,51,2014-12-15,120.0,172.93729468539877,172.93729468539877,126.74950507238835,112.05940579719018,112.05940579719018
6486,0116,Whse_C,2015,1,4,2015-01-23,36.0,164.99670048258895,164.99670048258895,52.44707931153009,16.650494927611646,16.650494927611646
6487,0116,Whse_C,2015,3,13,2015-03-25,36.0,145.6471954102006,145.6471954102006,49.98001741480057,19.552920688469897,19.552920688469897
6488,0116,Whse_C,2015,5,20,2015-05-15,36.0,129.2001160986705,129.2001160986705,47.88301480258049,22.01998258519943,22.01998258519943
6489,0116,Whse_C,2015,5,22,2015-05-28,90.0,115.22009868386992,115.22009868386992,93.21556258219341,86.2169851974195,86.2169851974195
6490,0116,Whse_C,2015,7,27,2015-07-02,126.0,111.43708388128942,111.43708388128942,124.1432281948644,128.18443741780658,128.18443741780658
6491,0116,Whse_C,2015,8,32,2015-08-03,18.0,113.621521299096,113.62152129909602,30.191743965634743,3.6567718051356053,3.6567718051356053
6492,0116,Whse_C,2015,8,32,2015-08-04,36.0,99.27829310423161,99.27829310423161,44.06798237078953,26.50825603436526,26.50825603436526
6493,0116,Whse_C,2015,8,34,2015-08-19,120.0,89.78654913859687,89.78654913859687,116.14778501517111,124.53201762921047,124.53201762921047
6494,0116,Whse_C,2015,9,36,2015-09-01,12.0,94.31856676780734,94.31856676780734,22.495617262895436,0.3477850151711124,0.3477850151711124
6495,0116,Whse_C,2015,10,43,2015-10-19,24.0,82.66635178297845,81.97078175263623,31.39127467346112,14.608812706762336,14.608812706762336
6496,0116,Whse_C,2015,10,43,2015-10-20,12.0,73.27516448974079,73.27516448974079,19.81258347244195,2.8087253265388767,2.8087253265388767
6497,0116,Whse_C,2015,11,47,2015-11-19,66.0,64.08388981627967,64.08388981627967,65.75569595157566,66.28741652755805,66.28741652755805
6498,0116,Whse_C,2015,11,47,2015-11-20,54.0,64.37130634383772,64.37130634383772,55.32234155883931,52.44430404842434,52.44430404842434
6499,0116,Whse_C,2015,11,48,2015-11-29,60.0,62.81561039226206,62.81561039226206,60.358990325013416,59.57765844116069,59.57765844116069
6500,0116,Whse_C,2015,12,50,2015-12-09,120.0,62.39326883342275,62.39326883342275,112.6551417762614,128.6410096749866,128.6410096749866
6501,0116,Whse_C,2016,1,2,2016-01-15,36.0,71.03427850840936,71.03427850840934,40.46687050982219,30.74485822373859,30.74485822373859
6502,0116,Whse_C,2016,1,4,2016-01-25,36.0,65.77913673214795,65.77913673214795,39.79683993334886,31.533129490177807,31.533129490177807
6503,0116,Whse_C,2016,3,9,2016-03-02,120.0,61.31226622232575,61.31226622232575,112.51731394334654,128.80316006665115,128.80316006665115
6504,0116,Whse_C,2016,3,12,2016-03-25,120.0,70.11542628897689,70.11542628897689,113.63971685184455,127.48268605665346,127.48268605665346
6505,0116,Whse_C,2016,4,14,2016-04-04,96.0,77.59811234563035,77.59811234563035,93.65375932406786,98.76028314815545,98.76028314815545
6506,0116,Whse_C,2016,5,18,2016-05-03,18.0,80.3583954937858,80.3583954937858,25.950695425457692,8.646240675932134,8.646240675932134
6507,0116,Whse_C,2016,5,20,2016-05-20,120.0,71.00463616971794,71.00463616971794,113.75309111163904,127.34930457454232,127.34930457454232
6508,0116,Whse_C,2016,5,21,2016-05-25,42.0,78.35394074426026,78.35394074426026,46.63512744489318,36.54690888836096,36.54690888836096
6509,0116,Whse_C,2016,6,22,2016-06-01,60.0,72.90084963262122,72.90084963262122,61.6448583281592,58.06487255510682,58.06487255510682
6510,0116,Whse_C,2016,6,22,2016-06-02,36.0,70.96572218772803,70.96572218772803,40.45812957893532,30.75514167184079,30.75514167184079
6511,0116,Whse_C,2016,8,34,2016-08-23,120.0,65.72086385956882,65.72086385956882,113.07941014209503,128.14187042106468,128.14187042106468
6512,0116,Whse_C,2016,8,35,2016-08-31,24.0,73.8627342806335,73.8627342806335,30.35749862078077,16.520589857904966,16.520589857904966
6513,0116,Whse_C,2016,9,35,2016-09-01,24.0,66.38332413853847,66.38332413853847,29.403873827663652,17.642501379219226,17.642501379219226
6514,0116,Whse_C,2016,9,37,2016-09-13,24.0,60.025825517757696,60.025825517757696,28.593292753514106,18.596126172336348,18.596126172336348
6515,0116,Whse_C,2016,9,39,2016-09-27,30.0,54.62195169009404,54.62195169009404,33.139298840486994,26.306707246485892,26.306707246485892
6516,0116,Whse_C,2016,9,39,2016-09-28,48.0,50.928658936579936,50.928658936579936,48.37340401441394,47.56070115951301,47.56070115951301
6517,0116,Whse_C,2016,10,41,2016-10-10,126.0,50.489360096092945,50.489360096092945,116.37239341225185,137.32659598558607,137.32659598558607
6518,0116,Whse_C,2016,10,42,2016-10-19,48.0,61.81595608167902,61.815956081679005,49.76153440041407,45.92760658774814,45.92760658774814
6519,0116,Whse_C,2016,11,45,2016-11-09,72.0,59.743562669427156,59.743562669427156,70.43730424035196,73.83846559958593,73.83846559958593
6520,0116,Whse_C,2016,11,46,2016-11-15,48.0,61.58202826901309,61.58202826901308,49.731708604299165,45.962695759648035,45.962695759648035
6521,0116,Whse_C,2016,12,49,2016-12-07,216.0,59.54472402866112,59.54472402866112,196.05195231365428,239.46829139570082,239.46829139570082
6522,0116,Whse_C,2016,12,49,2016-12-09,24.0,83.01301542436192,83.01301542436195,31.52415946660615,15.148047686345734,15.148047686345734
