Unnamed: 0,product_code,warehouse,year,month,week,date,order_demand,storage,mu,mu_a,pi,pir,provedor
4586,83,Whse_C,2012,2,5,01/02/2012,20000,34835.15073994253,34835.150739942525,21891.48171934267,17774.727389008614,17774.727389008614,Proveedor-0083
6445,116,Whse_C,2013,2,5,01/02/2013,240,310.3830046419796,310.38300464197954,248.9738330918524,229.4425493,229.4425493,Proveedor-0116
1151,33,Whse_C,2013,2,5,01/02/2013,1000,4683.524682724552,4683.524682724552,1469.6493970473805,447.4712975913171,447.4712975913171,Proveedor-0033
3818,38,Whse_C,2013,2,5,01/02/2013,1000,1842.336707668317,1842.336707668317,1107.3979302277105,873.6494938497524,873.6494938497524,Proveedor-0038
4798,83,Whse_C,2016,2,5,01/02/2016,10000,6.64920432141998e+20,30513.458421668223,12615.46595,6.64920432141998e+20,6.64920432141998e+20,Proveedor-0083
1,12,Whse_C,2012,3,9,01/03/2012,1000,1785.2380952380952,1785.2380952380952,1100.1178571428572,882.2142857142858,882.2142857142858,Proveedor-0012
4030,71,Whse_C,2016,3,9,01/03/2016,59000,672224661864.9983,24020.088572031047,54540.06129293396,672225000000.0,672225000000.0,Proveedor-0071
4688,83,Whse_C,2014,4,14,01/04/2014,10000,21803.310598471115,21803.31059847112,11504.922101305068,8229.503410229336,8229.503410229336,Proveedor-0083
4753,83,Whse_C,2015,4,14,01/04/2015,1000,18975674.50685169,15932.732681369678,2903.9234168746343,18960981.68407253,18960981.68407253,Proveedor-0083
1308,33,Whse_C,2016,4,13,01/04/2016,2000,5631.213651587547,5631.213651587547,2462.9797405774125,1455.3179522618675,1455.3179522618675,Proveedor-0033
5751,93,Whse_C,2015,6,23,01/06/2015,5000,14999.793506907805,14999.793506907805,6274.973672130745,3500.0309739638287,3500.0309739638287,Proveedor-0093
4008,71,Whse_C,2015,6,23,01/06/2015,7000,198271.20769792964,11324.862630065112,7551.419985333302,180595.0744623743,180595.0744623743,Proveedor-0071
6164,94,Whse_C,2015,6,23,01/06/2015,82000,33484.74715669561,33484.74715669561,75814.30526,89277.28792649566,89277.28792649566,Proveedor-0094
3912,38,Whse_C,2016,6,22,01/06/2016,4000,2509.7427306721297,2509.7427306721297,3809.9921981606967,4223.538590399181,4223.538590399181,Proveedor-0038
6509,116,Whse_C,2016,6,22,01/06/2016,60,72.90084963262122,72.90084963262122,61.64485833,58.06487255510682,58.06487255510682,Proveedor-0116
1319,33,Whse_C,2016,6,22,01/06/2016,500,63605.20439024066,6378.165080663329,1249.4660477845746,57608.76407167683,57608.76407167683,Proveedor-0033
6450,116,Whse_C,2013,7,27,01/07/2013,12,293.8800630693586,293.8800630693585,47.93970804134322,30.282009460403827,30.282009460403827,Proveedor-0116
6136,94,Whse_C,2014,7,27,01/07/2014,40000,34705.28336287551,34347.38335516885,39279.29137778403,40489.99248901801,40489.99248901801,Proveedor-0094
6415,100,Whse_C,2015,7,27,01/07/2015,5000,8850.035473497672,8850.035473497672,5490.879522870953,4422.494679,4422.494679,Proveedor-0100
4658,83,Whse_C,2013,8,31,01/08/2013,50000,23431.654904270294,23431.654904270297,46612.53600029447,53985.25176435946,53985.25176435946,Proveedor-0083
6090,94,Whse_C,2013,8,31,01/08/2013,50000,37586.47216944274,28216.088125240287,47222.55123596814,43897.202737011496,43897.202737011496,Proveedor-0094
6393,100,Whse_C,2014,8,31,01/08/2014,10000,39321.05725538316,39321.05725538314,13738.434800061352,5601.841411692512,5601.841411692512,Proveedor-0100
6231,94,Whse_C,2016,8,31,01/08/2016,3000,1.2786370251153447e+20,16787.98224081988,4757.967735704535,1.2786370251153447e+20,1.2786370251153447e+20,Proveedor-0094
1245,33,Whse_C,2014,9,36,01/09/2014,3000,4061.7947945108,4061.7947945108,3135.3788363001267,2840.730781,2840.730781,Proveedor-0033
6479,116,Whse_C,2014,9,36,01/09/2014,270,77.61368553169213,77.61368553169213,245.4707449052908,298.8579471702462,298.8579471702462,Proveedor-0116
6494,116,Whse_C,2015,9,36,01/09/2015,12,94.31856676780734,94.31856676780734,22.49561726289544,0.3477850151711124,0.3477850151711124,Proveedor-0116
4039,71,Whse_C,2016,9,35,01/09/2016,1000,344178964186866.25,46503.21355,6801.659727446705,344178964146188.5,344178964146188.5,Proveedor-0071
6513,116,Whse_C,2016,9,35,01/09/2016,24,66.38332413853847,66.38332413853847,29.40387382766365,17.642501379219226,17.642501379219226,Proveedor-0116
3921,38,Whse_C,2016,9,35,01/09/2016,3500,2794.7501871409963,2794.7501871409963,3410.080648860477,3605.78747192885,3605.78747192885,Proveedor-0038
